hypervisor,host,guest,ram,tcp_time_bytes_received,udp_time_bytes_received,tcp_space_time_elapsed,udp_space_time_elapsed
vmware,mac,centos,2,77115750,1310796,10.535108,10.473356008529663
vmware,mac,centos,2,77966256,1310796,10.160475,10.47333288192749
vmware,mac,centos,2,68613438,1310796,10.837072,10.473344087600708
vmware,mac,centos,2,80486172,1310796,10.990001,10.473406076431274
vmware,mac,centos,2,81274848,1310796,8.77279,10.472470045089722
vmware,mac,debian,5,79072326,1310796,10.851479,10.473664999008179
vmware,mac,debian,5,79931076,1310796,11.254232,10.473387956619263
vmware,mac,debian,5,79443306,1310796,12.588049,10.472591876983643
vmware,mac,debian,5,70979676,1310796,10.748287,10.473392963409424
vmware,mac,debian,5,79248198,1310796,11.389576,10.472560882568359
vmware,mac,debian,4,80736240,1310796,10.555573,10.472540855407715
vmware,mac,debian,4,78801648,1310796,12.445095,10.472630977630615
vmware,mac,debian,4,79692000,1310796,10.968072,10.472496032714844
vmware,mac,debian,4,81398508,1310796,9.703989,10.47247314453125
vmware,mac,debian,4,68440314,1310796,10.088302,10.472623109817505
vmware,windows,centos,5,153584346,1310796,4.971255,10.473204135894775
vmware,windows,centos,5,123352224,1310796,4.877021,10.473510980606079
vmware,windows,centos,5,155341692,1310796,5.486703,10.473667860031128
vmware,windows,centos,5,136417590,1310796,6.765602,10.472722053527832
vmware,windows,centos,5,157265292,1310796,5.188845,10.473971128463745
vmware,mac,centos,4,80954706,1310796,12.741322,10.472501993179321
vmware,mac,centos,4,80857152,1310796,13.065375,10.47263503074646
vmware,mac,centos,4,80495790,1310796,10.704961,10.473464012145996
vmware,mac,centos,4,80624946,1310796,12.143042,10.473595857620239
vmware,mac,centos,4,75444966,1310796,10.381631,10.47339916229248
vmware,mac,centos,5,65814600,1310796,11.685802,10.47321605682373
vmware,mac,centos,5,81115464,1310796,12.852231,10.473406076431274
vmware,mac,centos,5,78890958,1310796,11.280594,10.473305940628052
vmware,mac,centos,5,80443578,1310796,4.875662,10.473520040512085
vmware,mac,centos,5,80197632,1310796,9.858319,10.47334098815918
vbox,windows,centos,5,154679424,1310796,5.146523,10.473092079162598
vbox,windows,centos,5,157067436,1310796,5.228862,10.473078012466431
vbox,windows,centos,5,148824810,1310796,5.243904,10.47330904006958
vbox,windows,centos,5,159158664,1310796,1.97021,10.473176956176758
vbox,windows,centos,5,159216372,1310796,5.676381,10.47314715385437
vmware,mac,debian,2,80530140,1310796,11.126466,10.473416805267334
vmware,mac,debian,2,70587876,1310796,11.03531,10.473594903945923
vmware,mac,debian,2,79062708,1310796,9.614602,10.472635984420776
vmware,mac,debian,2,44391192,1310796,9.167441,10.472621917724609
vmware,mac,debian,2,78988512,1310796,9.067448,10.472791910171509
vbox,windows,centos,2,157706346,1310796,5.141571,10.473803043365479
vbox,windows,centos,2,100804884,1310796,5.270116,10.472944974899292
vbox,windows,centos,2,156336468,1310796,5.459088,10.474036931991577
vbox,windows,centos,2,135664638,1310796,5.277257,10.473336935043335
vbox,windows,centos,2,155914650,1310796,5.330701,10.472676992416382
vmware,windows,centos,4,154293330,1310796,5.283532,10.473650932312012
vmware,windows,centos,4,159139428,1310796,6.056782,10.473275899887085
vmware,windows,centos,4,151394190,1310796,5.606007,10.472671985626221
vmware,windows,centos,4,149515932,1310796,7.66737,10.47334885597229
vmware,windows,centos,4,158690130,1310796,5.457627,10.4759521484375
vbox,mac,debian,2,82373574,1311080,2.495225,11.128359079360962
vbox,mac,debian,2,69443746,1311080,2.730032,11.128276109695435
vbox,mac,debian,2,82403357,1311080,2.580428,11.12836217880249
vbox,mac,debian,2,81016605,1311080,3.726229,11.128376007080078
vbox,mac,debian,2,81807956,1311080,3.896577,11.128238916397095
vbox,mac,centos,4,81744260,1311080,3.019347,11.128160953521729
vbox,mac,centos,4,82049012,1311080,3.049235,11.128414869308472
vbox,mac,centos,4,71016724,1311080,2.49022,11.128277778625488
vbox,mac,centos,4,70694556,0,3.089877,11.129230976104736
vbox,mac,centos,4,71029522,1311080,2.877648,11.12851095199585
vbox,mac,centos,5,81311372,1311080,2.617122,11.128367900848389
vbox,mac,centos,5,82249003,1311080,2.611583,11.128314971923828
vbox,mac,centos,5,81895647,1311080,2.554678,11.1283278465271
vbox,mac,centos,5,82658772,1311080,2.868948,11.128502130508423
vbox,mac,centos,5,82545262,1311080,4.868512,11.128398180007935
vbox,mac,debian,5,81267170,1311080,2.497824,11.128350019454956
vbox,mac,debian,5,81342106,1311080,2.826261,11.12832498550415
vbox,mac,debian,5,82758912,1311080,3.22448,11.128175973892212
vbox,mac,debian,5,82314371,1311080,2.578005,11.128388166427612
vbox,mac,debian,5,82532210,1311080,3.262199,11.128166913986206
vbox,mac,debian,4,82047954,1311080,2.481161,11.128374099731445
vbox,mac,debian,4,82164022,1311080,2.562039,11.12838888168335
vbox,mac,debian,4,82698922,1311080,2.52339,11.12834906578064
vbox,mac,debian,4,82321289,1311080,2.406711,11.128354787826538
vbox,mac,debian,4,82244414,1311080,2.67005,11.128364086151123
vbox,windows,centos,4,73491138,1310796,12.636624,10.473080158233643
vbox,windows,centos,4,73432056,1310796,11.515945,10.473434925079346
vbox,windows,centos,4,70145448,1310796,11.016601,10.473540067672729
vbox,windows,centos,4,72412548,1310796,12.566011,10.473222017288208
vbox,windows,centos,4,73649148,1310796,12.434337,10.473198890686035
vmware,windows,centos,2,156466998,1310796,4.839757,10.47367000579834
vmware,windows,centos,2,158635170,1310796,5.61413,10.473733901977539
vmware,windows,centos,2,97948338,1310796,4.891596,10.472564935684204
vmware,windows,centos,2,160303206,1310796,5.858193,10.472766160964966
vmware,windows,centos,2,158761578,1310796,5.732913,10.472751140594482
vbox,mac,centos,2,81236438,1311080,2.968044,11.128382921218872
vbox,mac,centos,2,81901712,1311080,3.970847,11.128280878067017
vbox,mac,centos,2,82589784,1311080,3.469674,11.128363847732544
vbox,mac,centos,2,70122382,1311080,2.683568,11.132298946380615
vbox,mac,centos,2,69745785,1311080,2.702393,11.128219842910767
vbox,windows,ubuntu,5,156319980,1310796,6.034057,10.472759
vbox,windows,ubuntu,5,157251552,1310796,5.163462,10.472739
vbox,windows,ubuntu,5,158272648,1310796,5.50977,10.473541
vbox,windows,ubuntu,5,155685192,1310796,10.045102,10.00002
vbox,windows,debian,5,157923438,1310796,5.637878,10.473083972930908
vbox,windows,debian,5,154914378,1310796,5.616202,10.473134994506836
vbox,windows,debian,5,158790432,1310796,4.566001,10.473675966262817
vbox,windows,debian,5,157147128,1310796,4.445346,10.474025011062622
vbox,windows,debian,5,138027918,1310796,4.763553,10.473730802536011
vmware,mac,ubuntu,2,80787078,1310796,11.115725,10.473267
vmware,mac,ubuntu,2,65161950,1310796,10.767428,10.472597
vmware,mac,ubuntu,2,81100350,1310796,11.163898,10.47342
vmware,mac,ubuntu,2,79716732,1310796,11.099329,10.473587
vmware,mac,ubuntu,2,72703836,1310796,10.694103,10.473336
vmware,windows,ubuntu,5,154099596,1310796,7.364934,10.473409
vmware,windows,ubuntu,5,154437600,1310796,5.425177,10.472933
vmware,windows,ubuntu,5,141923208,1310796,6.078992,10.473906
vmware,windows,ubuntu,5,156572796,1310796,4.85598,10.472968999999999
vmware,windows,ubuntu,5,155727786,1310796,6.353721,10.47308
vmware,mac,ubuntu,4,75934110,1310796,11.245693,10.472634
vmware,mac,ubuntu,4,80149542,1310796,10.470097,10.473445
vmware,mac,ubuntu,4,79969548,1310796,10.963195,10.472539
vmware,mac,ubuntu,4,80490294,1310796,11.529024,10.473611
vmware,mac,ubuntu,4,80084964,1310796,11.601585,10.473329
vmware,windows,debian,5,156214182,1310796,5.168564,10.474011898040771
vmware,windows,debian,5,145810254,1310796,5.101469,10.472701072692871
vmware,windows,debian,5,124881486,1310796,5.131096,10.472827911376953
vmware,windows,debian,5,149667072,1310796,5.785813,10.473045110702515
vmware,windows,debian,5,141930078,1310796,4.841575,10.472636938095093
vmware,mac,ubuntu,5,78893706,1310796,11.317942,10.473433
vmware,mac,ubuntu,5,79748334,1310796,13.338158,10.473314
vmware,mac,ubuntu,5,80444952,1310796,12.838603,10.473514
vmware,mac,ubuntu,5,80929974,1310796,10.507536,10.473459
vmware,mac,ubuntu,5,79928328,1310796,11.087037,10.472658
vmware,windows,debian,2,158552730,1310796,5.237066,10.47356104850769
vmware,windows,debian,2,157531848,1310796,6.561051,10.472885131835938
vmware,windows,debian,2,158148774,1310796,5.678194,10.472992897033691
vmware,windows,debian,2,159499416,1310796,6.017799,10.47324800491333
vmware,windows,debian,2,139388178,1309422,5.585686,10.472739934921265
vbox,windows,debian,4,77188572,1310796,3.920723,10.473745107650757
vbox,windows,debian,4,76761258,1310796,9.938823,10.473830223083496
vbox,windows,debian,4,69704394,1310796,9.619933,10.472465038299561
vbox,windows,debian,4,76753014,1310796,9.396791,10.473628997802734
vbox,windows,debian,4,75409242,1310796,8.965952,10.473480939865112
vbox,mac,ubuntu,4,80962950,1310796,9.682145,10.473373
vbox,mac,ubuntu,4,80546628,1310796,11.182735,10.473368
vbox,mac,ubuntu,4,79687878,1310796,11.724307,10.473348
vbox,mac,ubuntu,4,79991532,1310796,11.524499,10.473395
vbox,mac,ubuntu,4,80451822,1310796,10.3762,10.472486
vbox,mac,ubuntu,5,80574108,1310796,11.361665,10.473484
vbox,mac,ubuntu,5,80318544,1310796,10.34005,10.473252
vbox,mac,ubuntu,5,6635046,1310796,12.96427,10.473333
vbox,mac,ubuntu,5,80387244,1310796,10.953577,10.473182
vbox,mac,ubuntu,5,69747198,1310796,11.766106,10.472384
vmware,windows,ubuntu,2,151894326,1310796,5.289329,10.472746
vmware,windows,ubuntu,2,150788256,1310796,5.292715,10.473071000000001
vmware,windows,ubuntu,2,150791004,1310796,6.331737,10.473584
vmware,windows,ubuntu,2,139098264,1310796,6.683379,10.472804
vmware,windows,ubuntu,2,144972114,1310796,7.328373,10.473868
vbox,windows,ubuntu,4,58981698,1310796,11.291556,10.472379
vbox,windows,ubuntu,4,71959128,1310796,12.54332,10.473131
vbox,windows,ubuntu,4,72644754,1310796,11.731464,10.473209
vbox,windows,ubuntu,4,73308396,1310796,11.451599,10.47454
vbox,windows,ubuntu,4,72519720,1310796,11.955607,10.473663
vmware,windows,debian,4,148501920,1310796,5.280964,10.473191976547241
vmware,windows,debian,4,113011500,1309422,5.167074,10.473525047302246
vmware,windows,debian,4,135990276,1309422,5.299862,10.473253965377808
vmware,windows,debian,4,144363432,1310796,5.00294,10.472890138626099
vmware,windows,debian,4,158397468,1310796,6.511631,10.472637176513672
vbox,windows,debian,2,60982242,1310796,10.80719,10.473672866821289
vbox,windows,debian,2,73121532,1310796,11.599865,10.473128080368042
vbox,windows,debian,2,76688436,1310796,10.985602,10.473233938217163
vbox,windows,debian,2,78026712,1310796,13.226453,10.473325967788696
vbox,windows,debian,2,78498200,1310796,12.740992,10.473110914230347
vbox,mac,ubuntu,2,66203442,1310796,10.875617,10.473269
vbox,mac,ubuntu,2,80604336,1310796,10.439342,10.473335
vbox,mac,ubuntu,2,79899474,1310796,10.766788,10.473401
vbox,mac,ubuntu,2,80068476,1310796,11.582383,10.473263
vbox,mac,ubuntu,2,79899474,1310796,10.942501,10.47325
vmware,windows,ubuntu,4,155899536,1310796,6.424339,10.473326
vmware,windows,ubuntu,4,157478262,1310796,5.245125,10.472864
vmware,windows,ubuntu,4,159032256,1310796,4.802097,10.472781
vmware,windows,ubuntu,4,140436540,1310796,5.141136,10.473987
vmware,windows,ubuntu,4,161104248,1310796,5.070996,10.47384
vbox,windows,ubuntu,2,152398584,1310796,5.369703,10.47311
vbox,windows,ubuntu,2,157468644,1310796,5.106995,10.472814
vbox,windows,ubuntu,2,159460944,1310796,5.163418,10.473866
vbox,windows,ubuntu,2,156052050,1310796,5.216535,10.472644
vbox,windows,ubuntu,2,155121852,1310796,6.415493,10.472873
